Band	Genre	Status	City	State
Smashed and Dissected	Brutal Death Metal	Split-up	Belém	Pará
Smashing Noisy	Thrash Metal	Split-up	Barra do Piraí	Rio de Janeiro
Smeell of Destruction	Black Metal	Split-up	São Sebastião do Paraíso	Minas Gerais
Snow	Sludge Metal/Crossover	Active	Florianópolis	Santa Catarina
SnowHawks	Epic Heavy Metal	Split-up	Contagem	Minas Gerais
Snuff	Thrash Metal	Active	Santarém	Pará
Social Chaos	Grindcore/Crust Punk	Active	São Paulo	São Paulo
Social Fears	Thrash Metal	Split-up	São Bernardo do Campo	São Paulo
Social Hate	Thrash Metal	Active	Ananindeua	Pará
Social Murder	Death Metal	Active	São Paulo	São Paulo
Sociofobia	Thrash Metal/Crossover	Active	Goiânia	Goiás
Sociopathic Urge	Death Metal/Grindcore	Split-up	São Luís	Maranhão
Sodamned	Death Metal	On hold	Jaraguá do Sul	Santa Catarina
Sodoma	Death/Thrash Metal (early); Death/Black Metal (later)	Active	João Pessoa	Paraíba
Sodoma	Thrash Metal	Active	Natal	Rio Grande do Norte
Sodomagomorra	Thrash Metal	Split-up	Rio Bonito	Rio de Janeiro
Sodomahorde	Raw Black Metal	Active	São Lourenço da Mata	Pernambuco
Sodömic	Death/Black Metal	Active	Pindamonhangaba	São Paulo
Sodomizer	Black/Speed Metal	Active	Rio de Janeiro	Rio de Janeiro
Sodomy	Black Metal/Punk	Active	Rio Grande do Sul	
Sodor	Thrash Metal	Split-up	Fortaleza	Ceará
Soerdmal	Black Metal	Unknown	São Paulo	
Sofrimento e Mosh	Thrash Metal	Split-up	Belém	Pará
Solarfall	Black Metal	Split-up	Parapuã	São Paulo
Solarium	Heavy Metal	Split-up	Jacareí	São Paulo
Soldiers of Death	Melodic Death/Black Metal	Unknown		
Solifvgae	Post-Black Metal	On hold	Rio de Janeiro	Rio de Janeiro
Solipsismus	Doom/Black Metal	Split-up	João Pessoa	Paraíba
Sølipsø	Sludge/Doom/Stoner Metal	Active	Fortaleza	Ceará
Solitary Death	Blackened Death Metal	Active	Embu das Artes	São Paulo
Solitude	Depressive Black Metal	Active		
Solivm	Black Metal	Active	Salvador	Bahia
Solm	Death Metal/Grindcore	Active		
Solstheim	Melodic Black/Death Metal	Active	São Paulo	
Solve et Coagula	Black Metal	Active	Belo Horizonte	Minas Gerais
Solve et Coagula	Black Metal	Split-up	Maceió	Alagoas
Somagnet	Thrash Metal	Active	Niterói	Rio de Janeiro
Somberlain	Black/Death Metal	Active	Fortaleza	Ceará
Somberland	Black Metal	Split-up	Criciúma	Santa Catarina
Somberpath	Death Metal	Active	João Pessoa	Paraíba
Sombra de Orion	Symphonic Blackened Death Metal	Active		
Sombras Nefastas	Black Metal	Active	São Paulo	São Paulo
Sombria	Death/Thrash Metal	Active	Sorocaba	São Paulo
Sombria	Death Metal	Active	Pernambuco	
Sombriale Divindae	Death Metal	Unknown	Sorocaba	São Paulo
Sömbriö	Speed/Thrash Metal/Punk	Active	Florianópolis	Santa Catarina
Sombriu	Black Metal	Active	Sapiranga	Rio Grande do Sul
Somniator	Melodic Power Metal	Unknown	Manaus	Amazonas
Somnus Cadaversus	Death/Black Metal	Split-up	Valinhos	São Paulo
Somos Parasitas	Brutal Death/Groove Metal/Grindcore	Unknown	São Paulo	
Son of a Witch	Hard Rock, Stoner Rock/Metal	Active	Natal	Rio Grande do Norte
Sonata Soturna	Symphonic Death/Doom Metal	On hold	Vitória	Espírito Santo
SonDamned	Black Metal	Split-up	Curitiba	Paraná
Songe d'Enfer	Black Metal	Split-up	Rio de Janeiro	Rio de Janeiro
Songs of Death	Raw Black Metal	Active	Belo Horizonte	Minas Gerais
Sonic Dash	Doom Metal/Progressive/Hard Rock	Changed name	São Paulo	São Paulo
Sono	Drone/Doom Metal	Active	Catanduva	São Paulo
Sono	Sludge/Doom Metal	Active	Petrópolis	Rio de Janeiro
Sons of Haze	Melodic Metalcore	Active	Petrópolis	Rio de Janeiro
Sons of Rage	Thrash Metal	Unknown		
Sons of Satan	Black Metal	Split-up	Manaus	Amazonas
Sons of Sin	Heavy/Groove Metal	Active	Rio de Janeiro	Rio de Janeiro
Sons of War	Raw Black Metal	Split-up	São Paulo	São Paulo
Sophie's Threat	Melodic Death/Thrash Metal	Active	São Paulo	São Paulo
Sopro da Tragédia	Pagan Black Metal	Unknown	Paraná	
Sorcery	Thrash Metal	Split-up	São Paulo	São Paulo
Sorcery	Death Metal	Split-up	Ourinhos	São Paulo
Sordido	Black Metal/Punk	Active	Piracicaba	São Paulo
Sore Cadaverous	Grindcore/Death Metal	Split-up	Salvador	Bahia
Soror	Doom Metal	Active	Brasília	Distrito Federal
Sorrow Blue	Melodic Death/Doom Metal	Active	Curitiba	Paraná
Sorrows	Black/Doom Metal	Active	Carmo do Paranaíba	Minas Gerais
Sortilégio	Symphonic Black/Heavy Metal	Active	Porto Velho	Rondônia
Soterion	Black Metal	Active	Recife	Pernambuco
Soturn	Progressive Death Metal	Active	Belo Horizonte	Minas Gerais
Soturna	Doom Metal	Active	Duque de Caxias	Rio de Janeiro
Soturnez	Depressive Black Metal	Active	São Bento do Sul	Santa Catarina
Soturno	Black Metal	Active	São Paulo	São Paulo
Soturno	Post-Black Metal	Split-up	Osasco	São Paulo
Soturnos	Thrash/Doom Metal	Split-up	São Luis	Maranhão
Soturnus	Gothic Metal (early); Death/Gothic Metal (later)	Active	João Pessoa	Paraíba
Soturnus Skullcrusher	Death Metal	Changed name	Teresina	Piauí
Soul Assassins	Thrash Metal	Active	Paranaguá	Paraná
Soul Devourer	Death Metal	Changed name	São Fidélis	Rio de Janeiro
Soul Factor	Thrash Metal	Active	Brasília	Distrito Federal
Soul in Agony	Thrash/Death Metal	Split-up	Maracanaú	Ceará
Soul Inside	Melodic Death/Thrash/Groove Metal	Active	Lavras	Minas Gerais
Soul of Honor	Doom/Folk Metal	Split-up	São Paulo	São Paulo
Soul Stone	Heavy Metal	Changed name	Uberlândia	Minas Gerais
Soul Torment	Thrash Metal	Active	Campo Bom	Rio Grande do Sul
Soul's Damnation	Melodic Heavy Metal	Active	Manaus	Amazonas
Soul's Silence	Doom/Death Metal	Unknown	São Paulo	São Paulo
SoulBlade	Power Metal	Unknown	Fortaleza	Ceará
Soulchamber	Groove Metal	Active	Sete Lagoas	Minas Gerais
Souldier	Heavy Metal	Unknown	ABC Paulista	São Paulo
Soulfieri	Death/Doom Metal	Active	Juiz de Fora	Minas Gerais
Soulforged	Progressive Metal	Unknown	Natal	Rio Grande do Norte
Soulless	Death Metal	Split-up	Belo Horizonte	Minas Gerais
Soulless	Death/Groove Metal	Active	Passo Fundo	Rio Grande do Sul
Soullhunter	Heavy/Power Metal	Split-up	Criciúma	Santa Catarina
Soulmetal	Heavy/Speed Metal	Active	Belém	Pará
Soulriver	Heavy/Doom/Stoner Metal	Active	Campinas	São Paulo
Souls for Sale	Thrash Metal	Split-up	Poços de Caldas	Minas Gerais
Souls of Rage	Southern/Groove Metal	Active	São Paulo	São Paulo
Souls' Gallery	Melodic Death Metal	On hold	Santa Maria	Rio Grande do Sul
Souls' Guardian	Heavy/Power Metal	Active	Nova Lima	Minas Gerais
Soulsad	Melodic Doom/Death Metal	Active	São Paulo	São Paulo
Soulscourge	Symphonic Doom Metal	Split-up	Florianópolis	Santa Catarina
Soulspell	Melodic Power Metal	Active	Lençóis Paulista	São Paulo
Soulthern	Heavy/Speed Metal	Active	Brusque	Santa Catarina
Soulwitch	Symphonic Metal	Active	Curitiba	Paraná
Sound'n'Rage	Heavy Metal	Unknown	Brasília	Distrito Federal
Sounder	Thrash Metal	Active	São Paulo	São Paulo
SoundScars	Progressive Heavy Metal	Active	Rio de Janeiro	
Sounpictures	Progressive Metal	Split-up	Guaratinguetá	São Paulo
Sour Brandy	Stoner Metal	Active	Atibaia	São Paulo
South Legion	Death/Black Metal	Split-up	Rio Grande	Rio Grande do Sul
Southern	Thrash/Groove Metal	Active	Caxias do Sul	Rio Grande do Sul
Southern Forest	Black Metal	On hold	Fernandópolis	São Paulo
Southern Hate	Black Metal	Active	Caxias do Sul	Rio Grande do Sul
Southern Riff Lord	Sludge/Stoner/Doom Metal	Active	Viamão	Rio Grande do Sul
Southern Warfront	Black Metal	On hold	Erechim	Rio Grande do Sul
Sovereign	Black Metal	Active	São Paulo	São Paulo
Sowdierz	Heavy Metal	Active	Curitiba	Paraná
Spartacus	Speed Metal	Active	Porto Alegre	Rio Grande do Sul
Spawn Malediction	Death Metal/Grindcore	Split-up	Cuiabá	Mato Grosso
Spectral	Heavy/Thrash Metal/Hard Rock	Active	Itambacuri/Teófilo Otoni	Minas Gerais
Spectral Lament	Atmospheric Black Metal	Active	Rio Grande do Sul	
Spectrum Luciferi	Black Metal	Active	Aracaju	Sergipe
Spectrus	Heavy/Progressive Metal (early); Groove Metal (later)	Unknown	São Paulo	São Paulo
Speed Metal Hell	Speed/Thrash Metal	Active	Itapeva	São Paulo
Speed Rider	Thrash Metal	Split-up	Uberlândia	Minas Gerais
Speedkiller	Black/Thrash Metal	Active	Três Corações	Minas Gerais
Spell Forest	Black Metal	Changed name	São Paulo	São Paulo
Spell Funereal	Black Metal	Split-up	Brasília	Distrito Federal
Spellbound	Raw Black Metal	Split-up	Cachoeirinha	Rio Grande do Sul
Spellbreak	Melodic Heavy Metal	Unknown	Pouso Alegre	Minas Gerais
Spermspawn	Black Metal	Active	Cuiabá	Mato Grosso
Sphearya	Power Metal	On hold	Florianópolis	Santa Catarina
Spherastral	Symphonic Metal	Unknown	Rio de Janeiro	
Spidrax	Heavy/Thrash Metal	Active	São Paulo	São Paulo
Spina Bifida	Thrash/Doom Metal	Split-up	Curitiba	Paraná
Spina Cristi	Thrash/Death Metal	Split-up	Recife	Pernambuco
Spine Crown	Death Metal	Unknown	Criciúma	Santa Catarina
Spiral Zone	Thrash/Groove Metal	Split-up	São Paulo	São Paulo
Spirit Forge	Heavy Metal	Unknown	Porto Alegre	Rio Grande do Sul
Spirit Heaven	Melodic Power Metal	Split-up	Pirassununga	São Paulo
Spirit Sacrifice	Death/Black Metal	Split-up	Teresina	Piauí
Spirit's Breeze	Death Metal	Unknown	Londrina	Paraná
Spiritcrusher	Thrash Metal	Active	Campinas	São Paulo
Spiritual	Heavy/Thrash Metal	Unknown	Lages	Santa Catarina
Spiritual	Death Metal	Unknown	Bauru	São Paulo
Spiritual Cancer	Heavy/Speed Metal	Split-up	Salvador	Bahia
Spiritual Carnage	Death Metal	Active	Goiânia	Goiás
Spiritual Emptiness	Heavy Metal	Split-up	Mococa	São Paulo
Spiritual Hate	Black/Death Metal	Active	Diadema	São Paulo
Spiritual Healing	Death Metal/Grindcore	Active		
Spiritual Live	Death/Gothic Metal	Split-up	Recife	Pernambuco
Spiritual Perversity	Experimental Black Metal	Active	Piracicaba	São Paulo
Spiritual Void	Stoner/Southern Metal	Active	Rio de Janeiro	Rio de Janeiro
Spiritual War	Death Metal/Grindcore	Unknown	Franca	São Paulo
Spiritus Diaboli	Black Metal	Split-up	Corupá	Santa Catarina
Spit	Southern Metal	Active	Santa Maria	Rio Grande do Sul
Spit	Heavy Metal	Unknown	Santos	São Paulo
Spit Blood	Grindcore/Thrash Metal	Split-up	São Paulo	São Paulo
Spitzenfall	Thrash Metal	Active	Campina Grande	Paraíba
Splattered Genocide	Slam/Brutal Death Metal	Active	Simões Filho	Bahia
Spleenful	Extreme Gothic Metal	Active	Porto Alegre	Rio Grande do Sul
Spreading Hate	Melodic Death Metal	Split-up	São Paulo	São Paulo
SS	Thrash Metal	Split-up	Cuiabá	Mato Grosso
SS Reich	Black Metal	Active		
Stab	Thrash Metal	Active	Piracicaba	São Paulo
Stabat	Black/Doom Metal	Active	Campina Grande	Paraíba
Stage Diver	Thrash Metal	Changed name	São Bernardo do Campo	São Paulo
Stahlwaren	Power Metal	Split-up	Rio de Janeiro	Rio de Janeiro
Stainless	Heavy Metal	Split-up	Brusque	Santa Catarina
Stalker	Power Metal	Unknown	Rio de Janeiro	Rio de Janeiro
Stallone Is My Hero	Death Metal/Grindcore	Active		
Star Raider	Heavy/Power Metal	Unknown	Santa Maria da Vitória	Bahia
Stargazer	Melodic Heavy Metal	Split-up	Vila Velha	Espírito Santo
Starlight Flame	Heavy Metal/Hard Rock	Active	São José do Rio Preto	São Paulo
Starv(N)ation	Thrash Metal/Crossover	Changed name		
Statik Majik	Stoner/Heavy Metal	Active	Rio de Janeiro	Rio de Janeiro
Stauros	Progressive Power Metal	Active	Itajaí	Santa Catarina
Steed of Fury	Heavy Metal	Active	Feira de Santana	Bahia
Steel Blazon	Thrash Metal	Split-up	São Paulo	São Paulo
Steel Danger	Heavy Metal	Split-up	Teresina	Piauí
Steel Fox	Power/Heavy Metal	Active	Fortaleza	Ceará
Steel Grinder	Heavy Metal	Active	Porto Alegre	Rio Grande do Sul
Steel Hands	Heavy/Power Metal	Active	Horizonte	Ceará
Steel Hands	Heavy Metal	Split-up		
Steel Rath	Heavy Metal	Active	Franca	São Paulo
Steel Soldier	Death Metal	Active		
Steel Warrior	Power Metal	Active	Itajaí	Santa Catarina
Steel Wölf	Heavy Metal	Active	Rio de Janeiro	Rio de Janeiro
Steelblade	Heavy Metal/Hard Rock	Split-up	Recife	Pernambuco
Steelfox	Heavy/Thrash Metal	Active	São Paulo	São Paulo
Steelgard	Heavy/Power Metal	Unknown	Lajedo	Pernambuco
Steelgods	Progressive Power Metal	Active	São Paulo	São Paulo
SteelLord	Heavy Metal	On hold	Cascavel	Paraná
Steely Heaven	Heavy Metal	Active	Rio de Janeiro	Rio de Janeiro
Steingeist	Black Metal	Active	Ponta Grossa	Paraná
Stench of Gore	Death Metal/Goregrind	Active		
Steps of Silence	Heavy Metal	Changed name	Avaré	São Paulo
Steridzo	Heavy Metal	Unknown	São Paulo	São Paulo
Still Alive	Heavy/Power Metal	Unknown	Rio de Janeiro	Rio de Janeiro
Still Life Remains	Heavy Metal	On hold	Florianópolis	Santa Catarina
Stodgy	Thrash/Death Metal	Unknown	Barra do Piraí	Rio de Janeiro
Stond Renk's	Thrash Metal	Unknown	Poços de Caldas	Minas Gerais
Stone Angel	Melodic Power Metal	Active	Santa Maria da Vitória	Bahia
Stone Break	Stoner/Doom Metal	Split-up	Rio de Janeiro	Rio de Janeiro
Stone Queen	Heavy Metal	Split-up	Salvador	Bahia
Stoned Brain	Stoner/Doom/Sludge Metal	Split-up	Santa Catarina	
Stonedrunk	Groove/Thrash Metal (early); Stoner Metal/Rock (later)	On hold	Marília	São Paulo
Stonehenge	Heavy Metal	Split-up	São Bernardo do Campo	São Paulo
Stonehenge	Heavy Metal	Split-up	Curitiba	Paraná
Stonevil	Epic Heavy Metal	Active	São Paulo	São Paulo
Storge	Heavy Metal	Unknown	Curitiba	Paraná
Storia	Progressive Power Metal	Active		Minas Gerais
Storm	Death Metal	Split-up	Jundiaí	São Paulo
Storm	Heavy Metal	Split-up	Camaçari	Bahia
Storm Front 88	Black Metal	Split-up	Curitiba	Paraná
Storm Lie Truth	Black Metal	Active	Manaus	Amazonas
Storm Steel	Groove/Heavy Metal	Active	Porto Alegre	Rio Grande do Sul
Stormbane	Thrash/Groove Metal	Split-up	Rio de Janeiro	Rio de Janeiro
Stormblood	Thrash/Death Metal	Split-up	Recife	Pernambuco
Stormbringer	Heavy Metal	Split-up	Juazeiro do Norte	Ceará
Stormental	Progressive Metal	Active	Florianópolis	Santa Catarina
Stormfall	Melodic Death Metal	Split-up	Rio de Janeiro	Rio de Janeiro
Stormrider	Thrash Metal	Split-up	São Paulo	São Paulo
Stormriders	Heavy Metal	Active	Alagoas	
Storms	Thrash Metal	Active	Caruaru	Pernambuco
Stormy	Thrash Metal	Split-up	Bauru	São Paulo
Stout Inc.	Southern/Groove Metal	Active	Minas Gerais	
Straighthate	Thrash Metal	Unknown	Recife	Pernambuco
Strangulation	Technical Death Metal	Split-up	São Paulo	São Paulo
Strategy	Melodic Power Metal	Unknown	Itu	São Paulo
Stratiotes	Heavy Metal/Hard Rock	Active	Londrina	Paraná
Street Fear	Grindcore	Split-up	Ilha Solteira	São Paulo
Strength	Thrash Metal with Grunge influences	Split-up	São Paulo	São Paulo
Stress	Speed/Heavy Metal	Active	Belém	Pará
Strigis	Black Metal	Active	Araraquara	São Paulo
Strike the Undead	Crossover/Thrash Metal	Split-up	São Paulo	São Paulo
Striknyna	Heavy Metal/Hard Rock	Unknown	São Paulo	São Paulo
Stringbreaker	Heavy Metal	Active		
Ström	Black Metal	Split-up	São Paulo	São Paulo
Strong Wind	Heavy Metal/Hard Rock	Split-up	Rio de Janeiro	Rio de Janeiro
Structure Violence	Groove/Thrash Metal	Active	Fortaleza	Ceará
Stupid Slaughter	Death Metal/Grindcore	Split-up	Itapira	São Paulo
Stupid Vision	Thrash Metal	Changed name	Jundiaí	São Paulo
Sturmgewehr	Black Metal	Active	Joinville	Santa Catarina
Styrken	Depressive Black Metal	Active	Recife	Pernambuco
Sub Umbra Luciferi	Black Metal	Active	Campos dos Goytacazes	Rio de Janeiro
Subconcious Terror	Death Metal	Split-up	Franca	São Paulo
Subcut	Grindcore	Active	Presidente Prudente / Araçatuba	São Paulo
Subinfected	Death Metal	Active	Recife	Pernambuco
Sübmitt	Heavy Metal/Punk	Split-up	São Paulo	São Paulo
Submundo	Black/Speed Metal	Active	Novo Hamburgo	Rio Grande do Sul
Subnarcose	Doom/Thrash Metal/Hardcore	Active	Olinda	Pernambuco
Subser	Death Metal/Grindcore	Active	São Paulo	São Paulo
Subsollo Hostil	Heavy/Groove Metal/Metalcore	Unknown	Dourados	Mato Grosso do Sul
Subsolo	Death Metal	On hold	Barroso	Minas Gerais
Subtenebras	Black Metal	Active	Guaíba	Rio Grande do Sul
Subtera	Death Metal/Metalcore	Split-up	Londrina	Paraná
Subterrânea	Doom/Sludge Metal	Active	Brasília	Distrito Federal
Subterror	Death Metal/Crust	Split-up	Brasília	Distrito Federal
Subtraction	Melodic Death/Thrash Metal	Unknown	Cabo Frio	Rio de Janeiro
Suburbius	Death Metal	Active	Teresina	Piauí
Subversive	Death Metal	Split-up	Curitiba	Paraná
Succubus	Death Metal	Split-up	Jundiaí	São Paulo
Sudakah	Groove Metal/Metalcore	Unknown	São Paulo	São Paulo
Sufferance	Death Metal	Changed name	Belo Horizonte	Minas Gerais
Sufferator	Death/Thrash Metal	Active	São Luís	Maranhão
Suffocation of Soul	Thrash Metal	Active	Poções	Bahia
Suggillation	Death Metal	Active	Dourados	Mato Grosso do Sul
Suicidal Disciplines	Black Metal	Active	São Paulo	São Paulo
Suicide	Death/Thrash Metal	Split-up	Lavras	Minas Gerais
Suicide	Brutal Death Metal	Unknown	Batatais	São Paulo
Suicide Control	Melodic Death Metal/Metalcore	Active	Cataguases	Minas Gerais
Suicide Crow	Black Metal	Active	Rio Grande do Sul	
Suicidevotion	Thrash Metal	Unknown	Cachoeira do Sul	Rio Grande do Sul
Suicídio Eterno	Depressive Black Metal	Active	João Pessoa	Paraíba
Suicidown	Black Metal	Split-up	São Paulo	São Paulo
SuiMortem	Black Metal	Active	São Paulo	São Paulo
Sujo	Death Metal/Grindcore/Noise	Active		
Sulfur	Thrash Metal	Split-up	Belo Horizonte	Minas Gerais
Sulfuric Storm	Death Metal	Active	Belo Horizonte	Minas Gerais
Sulphurian	Atmospheric Doom/Death Metal	On hold	Santos/São João da Boa Vista	São Paulo
Sulphurous Lord	Black Metal	Active	Mairinque	São Paulo
Sumerian Project	Melodic Death/Power/Progressive Metal	Active	São Paulo	São Paulo
Summa	Doom Metal	Active	Brasília	Distrito Federal
Summum Heredis	Black Metal	Active	Limeira	São Paulo
Sun & Steel	Heavy Metal	Active	Salto	São Paulo
Sun Temple	Heavy Metal	Split-up	São Paulo	São Paulo
Sunrise	Heavy Metal	Split-up	Itaúna	Minas Gerais
Sunriseless	Melodic Death Metal/Deathcore	Active	São Paulo	São Paulo
Sunroad	Progressive Metal	Active	Goiania	Goiás
Sunseth Midnight	Gothic Metal	On hold	São Paulo	São Paulo
Superius	Gothic/Death Metal	Active	Juiz de Fora	Minas Gerais
SuperSonic Brewer	Heavy/Thrash Metal	Split-up	Bento Gonçalves	Rio Grande do Sul
Suppurated Fetus	Death Metal (early); Power Electronics (later)	Split-up	Blumenau	Santa Catarina
Suprema	Power Metal	Active	São Paulo	São Paulo
Supremos	Black Metal	Unknown	Monte Alto	São Paulo
Surom	Black Metal	Split-up	Goiânia	Goiás
Surra	Crossover/Thrash Metal	Active	Santos	São Paulo
Sürtür	Speed/Black/Thrash Metal	Active	Rio de Janeiro	Rio de Janeiro
Survive	Metalcore/Deathcore	Unknown	Rio Branco	Acre
Sutura	Death Metal/Grindcore (early); Death/Black Metal (later)	Active	Nova Friburgo	Rio de Janeiro
Svardith	Black Metal/Dark Ambient	Active	Ponta Grossa	Paraná
Svartalfheim	Folk/Black Metal	Active	Curitiba	Paraná
Svartland	Black Metal	Active	Poços de Caldas	Minas Gerais
Svartr	Black/Death Metal	Active	Santo André	São Paulo
Svatan	Black Metal	Active	Brasília	Distrito Federal
Svlfvr	Black/Death Metal	Active	Sergipe	
Swampy	Death/Black Metal	Active	Santa Maria	Rio Grande do Sul
Swansong	Death/Doom Metal	Split-up	São Paulo	São Paulo
Swards	Progressive Power Metal	Active	Natal	Rio Grande do Norte
Sweet Danger	Heavy Metal	Active	São Paulo	São Paulo
Sweet Dead Girl	Depressive/Post-Black Metal, Electronic	Unknown		
Sweet Pain	Power Metal	Split-up	São Paulo	São Paulo
Sweet Storm	Progressive Death Metal	Active	Uberaba	Minas Gerais
Sweet Torment	Depressive/Post-Black Metal	Active	Belo Horizonte	Minas Gerais
SwitchBack	Thrash Metal/Crossover/Hardcore Punk	Active	Rio de Janeiro	Rio de Janeiro
Swords at Hymns	Epic Black/Death Metal	Split-up	Caxias do Sul	Rio Grande do Sul
SxTxIx	Thrash Metal/Crossover	Split-up	Nova Friburgo	Rio de Janeiro
Symbolic Immortality	Death/Doom Metal	Split-up	São Gonçalo	Rio de Janeiro
Symbolica	Heavy Metal	Split-up	Urussanga	Santa Catarina
Symbollic	Thrash Metal	Active	Araxá	Minas Gerais
Symbols	Power Metal	Split-up	São Paulo	São Paulo
Symmetrya	Melodic Heavy Metal	Active	Joinville	Santa Catarina
Sympherium	Symphonic Black/Death Metal	Split-up	João Pessoa	Paraíba
Symphonaire Infernus	Black Metal	Active	Anápolis	Goiás
Symphonic Age	Progressive Metal/Rock	Active	Rio de Janeiro	Rio de Janeiro
Symphonic Sorrow	Symphonic Depressive Black Metal	Active	São Paulo	São Paulo
Symphonic Tragedy	Power Metal	Split-up	Goiânia	Goiás
Symphony Angels	Heavy/Power Metal	Split-up	Campo Grande	Mato Grosso do Sul
Symphony Christ	Death Metal	Unknown	Vitória	Espírito Santo
Symphony Draconis	Black Metal	Active	Porto Alegre	Rio Grande do Sul
Symphony of Discordia	Atmospheric Death/Doom Metal	Active	Fortaleza	Ceará
Symphony of Thunder	Melodic Black/Heavy Metal	Split-up	Cajati	São Paulo
Symphony Towers	Heavy Metal	Active	Tôrres	Rio Grande do Sul
Symptomen	Heavy Metal	Active	Tatuí	São Paulo
Syn TZ	Heavy Metal	Active	Balneário Camboriú	Santa Catarina
Syndicate	Heavy Metal	Unknown		
Syndrome	Heavy/Thrash Metal	Split-up	Balneário Camboriú	Santa Catarina
Syndrome of Terror	Grindcore	Active	Osasco	São Paulo
Synnoveriem	Power Metal	Split-up	São Paulo	São Paulo
Synphoru	Brutal Death Metal/Noisegrind	Active	Paraná	
Syphax	Heavy Metal	Unknown	Vitória	Espírito Santo
Syringa Vulgaris	Death Metal/Hardcore	Active	Porto Alegre	Rio Grande do Sul
Syrkai	Black Metal	Active	Ceará	
Sysmic	Melodic Death Metal	Active	Cruz das Almas	Bahia
Sysyphus	Blackened Death Metal	Active	Fortaleza	Ceará
T.I.T.	Thrash Metal/Crossover	Split-up	São Paulo	São Paulo
T.O.S.T War	Black Metal	Active	Porto Alegre	Rio Grande do Sul
Ta'mõi Grisi	Experimental Black Metal	Active	São Paulo	
Tacaz	Black Metal	Active	Rio de Janeiro	
Taetrabiblia	Thrash Metal	Split-up	São Paulo	São Paulo
Tahiraã	Black Metal	Active	Salvador	Bahia
Tahra	Progressive Heavy/Power Metal	Unknown	Goiânia	Goiás
Tailgunners	Heavy Metal	Active	São Paulo	São Paulo
Takeover	Melodic Heavy/Thrash Metal	Changed name	Jundiaí	São Paulo
Takken	Thrash Metal	Split-up	São Paulo	São Paulo
Tallene	Southern Metal/Punk	Active	São Paulo	São Paulo
Talrak	Melodic Death/Black Metal	Split-up	Sorocaba	São Paulo
Tamuya Thrash Tribe	Death/Thrash Metal	Active	Rio de Janeiro	Rio de Janeiro
Tanatron	Death Metal	Active	São Luís	Maranhão
Tandra	Folk Metal	Active	Curitiba	Paraná
Tanit	Melodic Power/Heavy Metal	Split-up	Natal	Rio Grande do Norte
Tantum	Heavy Metal/Hard Rock	Active	Belo Horizonte	Minas Gerais
Target	Heavy Metal	Split-up	São Paulo	São Paulo
Target X	Heavy/Power Metal	Active	Rio de Janeiro	Rio de Janeiro
Tarrabazza	Heavy/Gothic Metal	Split-up	Campina Grande	Paraíba
Tarrask	Thrash/Death Metal	Split-up	São Gonçalo	Rio de Janeiro
Tarrasque	Death Metal	Active	Brasília	Distrito Federal
Taste of Sin	Melodic Power Metal	Unknown	Guarujá	São Paulo
Taurus	Speed/Thrash Metal	Active	Niterói	Rio de Janeiro
Tchandala	Heavy Metal	Active	Aracaju	Sergipe
Te Voy a Quebrar	Stoner/Sludge/Doom Metal	Active	Rio de Janeiro	Rio de Janeiro
Tean Zu	Death/Thrash Metal	Active	Brasília	Distrito Federal
Tears of Joker	Power Metal	Split-up	São Paulo	São Paulo
Tears öf Rage	Heavy/Thrash Metal	Active	Caxias do Sul	Rio Grande do Sul
Techton	Melodic Death Metal	Split-up	Leme	São Paulo
Teenage Suicide	Black Metal/Hardcore	Split-up	Piracicaba	São Paulo
Tekilahell	Heavy/Southern Metal/Hard Rock	Active	Brasília	Distrito Federal
Telaviv	Melodic Death Metal/Metalcore	Split-up	Belém	Pará
Tellurian	Gothic Metal	Unknown	Belo Horizonte	Minas Gerais
Tellus Terror	Experimental Death Metal/Deathcore (early); Symphonic Death/Black Metal (later)	Active	Niterói	Rio de Janeiro
Temblor	Progressive Metal	Split-up	São Paulo	São Paulo
Temenon	Thrash Metal	Unknown	Brasília	Distrito Federal
Tempestad	Thrash Metal	Active	Porto Alegre	Rio Grande do Sul
Tempestade H.C.M.	Black/Death/Thrash Metal	Split-up	Mateus Leme	Minas Gerais
Tempestas	Progressive Death Metal	Split-up	Florianópolis	Santa Catarina
Tempestilence	Death Metal	Active	Campinas	São Paulo
Tempestt	Heavy/Progressive Metal	Unknown	São Paulo	São Paulo
Templária	Melodic Power/Speed Metal	Split-up	Leme	São Paulo
Templaris	Melodic Heavy Metal	Unknown	Itabira	Minas Gerais
Templarius	Heavy Metal	Split-up	Salvador	Bahia
Templars	Heavy Metal	Active	Picos	Piauí
Temple of Baphomet	Raw Black Metal	Split-up		
Temple of Chaos	Black Metal	Active	Belo Horizonte	Minas Gerais
Temple of Hyperborea	Black Metal	Active	São Paulo	
Temple of Sin	Heavy Metal	Unknown	São Paulo	São Paulo
Temple of the Bloody Sun	Stoner/Doom Metal	Active		
Templo das Quimeras	Post-Black Metal	Active	Fortaleza	Ceará
Templo de Fogo	Power Metal	Active	Itu	São Paulo
Templo Obscuro	Black Metal	Active	Itabuna	Bahia
Templomayor	Melodic Power Metal	Active	São Paulo	São Paulo
Templum	Black Metal	On hold	Mogi das Cruzes	São Paulo
Tempus Edax Rerum	Doom/Black Metal	Unknown	Fortaleza	Ceará
