Country of origin	Location	Status	Formed in	Genre	Themes	Current label	Years active	url
Brazil	Curitiba, Paraná	Changed name	2001	Death/Thrash Metal	Destruction, Darkness, Profanation	Unsigned/independent	?-2001 (as Cérbero), 2001-2008, 2003-? (as Deafening Silence), ?-present (as Deathning)	https://www.metal-archives.com/bands/Keophz/32419
Brazil	Ilhéus, Bahia	Active	2012	Thrash Metal	N/A	Unsigned/independent	2012-present	https://www.metal-archives.com/bands/Kerberus/3540390575
Brazil	São Paulo, São Paulo	Split-up	2001	Symphonic/Gothic Metal	Christianity	Megahard Records	2001-?	https://www.metal-archives.com/bands/Kerix/69137
Brazil	Varginha, Minas Gerais	Active	2012	Celtic Folk Metal	Brazilian and Celtic folklore	Metalodic Records	2012-present	https://www.metal-archives.com/bands/Kernunna/3540364059
Brazil	Catanduva, São Paulo	Active	2017	Raw Black Metal	Vietnam war films (early); World War II, Violence (later)	Podreira Records	2017-2019, 2022-present	https://www.metal-archives.com/bands/Kerosene/3540525501
Brazil	Salvador, Bahia	Active	2004	Death/Thrash Metal	Darkness, Forsaken, Evil, War, Madness, Disbelief, Mental disorders	Unsigned/independent	2004-present	https://www.metal-archives.com/bands/Keter/44137
Brazil	Sergipe	Active	N/A	Progressive Metal	Instrumental	Unsigned/independent	N/A	https://www.metal-archives.com/bands/Kevin_Douglas/3540533082
Brazil	Lages, Santa Catarina	Split-up	1996	Black Metal	Occultism, Darkness	Unsigned/independent	1996-2002	https://www.metal-archives.com/bands/Key_of_Salomon/23173
Brazil	São Paulo, São Paulo	Active	2002	Gothic/Heavy Metal	N/A	Unsigned/independent	2002-present	https://www.metal-archives.com/bands/Keys_of_the_Light/68229
Brazil	Itu, São Paulo	Split-up	N/A	Power Metal	N/A	Unsigned/independent	N/A	https://www.metal-archives.com/bands/Keystone_Keeper/128655
Brazil	Maringá, Paraná	Split-up	2004	Technical Death Metal	N/A	Unsigned/independent	2004-?	https://www.metal-archives.com/bands/Khabla/87717
Brazil	Belo Horizonte, Minas Gerais	Split-up	2003	Raw Black Metal	Misanthropy, Anti-Christianity	Unsigned/independent	2003-?	https://www.metal-archives.com/bands/Khalabath/42125
Brazil	Brasília, Distrito Federal	Active	1994	Progressive Metal	Human feelings	Hellion Records	1994-1996 (as Calice), 1994-present, 1996-2010	https://www.metal-archives.com/bands/Khallice/14512
Brazil	São Paulo, São Paulo	Active	2012	Black Metal	Death, Blasphemy, Anti-Christianity	Pazuzu Records	2012-present	https://www.metal-archives.com/bands/Khaotic/3540354176
Brazil	Londrina, Paraná	Split-up	2022	Black Metal	War, Equality, Anti-fascism, Class struggle	Unsigned/independent	2022-?	https://www.metal-archives.com/bands/Kharaxul/3540509540
Brazil	São Paulo	Active	2018	Death/Black Metal/Deathcore	N/A	Unsigned/independent	2018-present	https://www.metal-archives.com/bands/Kharnal/3540528278
Brazil	São Paulo, São Paulo	Active	2007	Deathcore	N/A	Unsigned/independent	2007-present	https://www.metal-archives.com/bands/Khatryna/127974
Brazil	Uberlândia, Minas Gerais	Active	2014	Black/Death Metal	Negativity, War, Death, Dark fantasy	Unsigned/independent	2014-present	https://www.metal-archives.com/bands/Khazad_D%C3%BBm/3540412241
Brazil	Uberlândia, Minas Gerais	Active	2021	Death Metal	Death, Extermination of human race, Nihilism	Unsigned/independent	2021-present	https://www.metal-archives.com/bands/Khormoundeggom/3540512950
Brazil	São José dos Campos, São Paulo	Unknown	1989	Thrash Metal	Violence, Politics, Thrash	Unsigned/independent	1989-1992, 1992-1993 (as Ancestor), 1993-1999 (as Primal Rage), 2014-2016, 2017-?	https://www.metal-archives.com/bands/Khranial/3540404214
Brazil	São José, Santa Catarina	Active	1998	Death Metal	Death, Violence, Darkness	Sangue Frio Produções	1993-1994 (as Darkness), 1998-present	https://www.metal-archives.com/bands/Khrophus/8008
Brazil	Parnaíba, Piauí	Active	2010	Thrash Metal/Crossover	Wars, Politics, Society	Unsigned/independent	2010-present	https://www.metal-archives.com/bands/Kick_Head/3540361736
Brazil	São Paulo, São Paulo	Active	2004	Melodic Progressive Metal/Shred	Instrumental	Boosweet	2004-present	https://www.metal-archives.com/bands/Kiko_Loureiro/32477
Brazil	São Paulo, São Paulo	Active	2015	Heavy/Power Metal	N/A	Pure Steel Records	2015-present	https://www.metal-archives.com/bands/Kiko_Shred/3540459100
Brazil	Porto Alegre, Rio Grande do Sul	Active	2013	Progressive/Heavy Metal	Fantasy, Philosophy, Political	Unsigned/independent	2010-2011 (as Made of Fire), 2011-2013 (as Pilepsia), 2013-present	https://www.metal-archives.com/bands/Killepsia/3540387360
Brazil	São Paulo, São Paulo	Active	2003	Thrash Metal	Violence, Death, War	Unsigned/independent	2003-present	https://www.metal-archives.com/bands/Killer_Command/3540349105
Brazil	Itapeva, São Paulo	Split-up	2007	Thrash Metal	Destruction, Murder, Death	Unsigned/independent	2007-2008	https://www.metal-archives.com/bands/Killer_Machine/113050
Brazil	Leme, São Paulo	Split-up	1995	Death/Thrash Metal	N/A	Unsigned/independent	1995-1997, 2004-?	https://www.metal-archives.com/bands/Killer_Side/20390
Brazil	Cataguases, Minas Gerais	Active	2010	Death Metal	Anti-religion	Unsigned/independent	2010-present	https://www.metal-archives.com/bands/Killers_of_Faith/3540351855
Brazil	São Luís, Maranhão	Active	2016	Groove/Thrash Metal	Politics, Violence, Religion, Psychosocial disorders	L'Arte Produce	2016-present	https://www.metal-archives.com/bands/Killery/3540453015
Brazil	Fortaleza, Ceará	Active	2015	Thrash/Groove Metal	N/A	Unsigned/independent	2015-present	https://www.metal-archives.com/bands/Killin%27Ground/3540449694
