Country of origin	Location	Status	Formed in	Genre	Themes	Current label	Years active	url
Brazil	N/A	Split-up	2021	Black Metal	Blasphemy	Podrera's Records	2021-?	https://www.metal-archives.com/bands/Arab_Zaraq/3540526394
Brazil	São Paulo, São Paulo	Active	N/A	Acoustic, Sludge/Doom Metal	Introspection	Unsigned/independent	N/A	https://www.metal-archives.com/bands/Arabesco/3540415285
Brazil	São Fidélis, Rio de Janeiro	Split-up	1998	Black/Death Metal	Anti-Christianity, War, Satanism, Blasphemy	Mountain Distro/Prod.	1998-?	https://www.metal-archives.com/bands/Aracranios/20011
Brazil	N/A	Split-up	N/A	Raw Black Metal	N/A	Death Crop Productions	N/A	https://www.metal-archives.com/bands/Arahmok/125838
Brazil	Brasília, Distrito Federal	Active	2008	Folk Metal	Indigenous legends from Brazil	Earth and Sky Productions	2008-present	https://www.metal-archives.com/bands/Arandu_Arakuaa/3540349161
Brazil	Natal, Rio Grande do Norte	Active	2015	Pagan Black Metal	Paganism, Indigenous Mythology of Brazil	Barleycorn Produções	2015-present	https://www.metal-archives.com/bands/Arani/3540428584
Brazil	Osasco, São Paulo	Active	2006	Thrash/Speed Metal	Evil, War, Human atrocity, Metal	Irmandade Hermética do Ódio	2006-present	https://www.metal-archives.com/bands/Arautos_do_Caos/3540509265
Brazil	Anápolis, Goiás	Split-up	2004	Black Metal	Paganism, Darkness, Occultism, Anti-Christianity	Ad Bellum Records	2004-?	https://www.metal-archives.com/bands/Arbach/96828
Brazil	Itaí, São Paulo	Active	2010	Brutal Death Metal/Grindcore	Death, Gore	Unsigned/independent	2010-present	https://www.metal-archives.com/bands/Arbovirus/3540330966
Brazil	Araguari, Minas Gerais	Active	1998	Death Metal	Anti-religion	Arsing Chaos Studios	1998-present	https://www.metal-archives.com/bands/Arc_of_Death/3540549858
Brazil	Petrópolis, Rio de Janeiro	Active	2019	Symphonic Metal	N/A	Unsigned/independent	2019-present	https://www.metal-archives.com/bands/Arcana_Elysium/3540478702
Brazil	Cachoeira do Sul, Rio Grande do Sul	Active	2014	Death/Thrash Metal	Death, Pain, Religion	Wargods Press	2014-present	https://www.metal-archives.com/bands/Arcana_Mea/3540470321
Brazil	Abreu e Lima, Pernambuco	Split-up	2008	Heavy/Power Metal	Christianity	Unsigned/independent	2008-2015	https://www.metal-archives.com/bands/Arcandria/3540449338
Brazil	Americana, São Paulo	Split-up	2001	Death Metal	N/A	Unsigned/independent	2001-2010	https://www.metal-archives.com/bands/Arcane_Aeon/74945
Brazil	Poços de Caldas, Minas Gerais / Aparecida de Goiânia, Goiás	Active	2023	Epic/Atmospheric Black Metal	Fantasy, Landscapes, Nature	Elven Witchcraft	2023-present	https://www.metal-archives.com/bands/Arcania/3540529709
Brazil	Brasília, Distrito Federal	Active	1994	Thrash Metal	Christianity, Perseverance, Redemption, Life struggles	Unsigned/independent	1994-2004, 2004-present (as Arcanjjo)	https://www.metal-archives.com/bands/Arcanjo/14996
Brazil	Sete Lagoas, Minas Gerais	Active	1997	Black Metal	Misanthropy, Satanism	Unsigned/independent	1997-2018, 2020-present	https://www.metal-archives.com/bands/Arcano_Arconte/125735
Brazil	Salvador, Bahia	Active	2010	Symphonic Power Metal	Myths, Freedom, Glory	Unsigned/independent	2010-present	https://www.metal-archives.com/bands/Arcantis/3540409601
Brazil	Guarulhos, São Paulo	Split-up	1998	Doom Metal	Obscurity, Melancholy	Unsigned/independent	1998-2006	https://www.metal-archives.com/bands/Arcanu_Anima/34747
Brazil	Caruaru, Pernambuco	Unknown	2010	Black Metal	Evil, Satanism, Ancient history	Unsigned/independent	2010-?	https://www.metal-archives.com/bands/Archaean/3540382745
Brazil	São Paulo, São Paulo	Split-up	1988	Power/Speed Metal	N/A	Unsigned/independent	1988-1991	https://www.metal-archives.com/bands/Archaeus/3540356814
Brazil	Barbacena, Minas Gerais	Split-up	1994	Black Metal	Satanism, Hedonism, Iniquity	Putamadre Productions	1990-1992 (as Above Christ), 1992-1994 (as Behemoth), 1994-?	https://www.metal-archives.com/bands/Archangellus/26036
Brazil	Aquiraz, Ceará	Unknown	2011	Melodic Heavy Metal	N/A	Unsigned/independent	2011-?	https://www.metal-archives.com/bands/Archard/3540560976
Brazil	Erechim, Rio Grande do Sul	Split-up	2004	Black Metal	Misanthropy, Anti-Christianity, War, Hate	Cauterized Productions	2004-2005	https://www.metal-archives.com/bands/Archemeday/45290
Brazil	Belo Horizonte, Minas Gerais	Split-up	2003	Melodic Death Metal	N/A	Unsigned/independent	2003-?	https://www.metal-archives.com/bands/Archenar/21275
Brazil	Curitiba, Paraná	Active	2007	Epic Doom Metal	Darkness, Sorrow, Melancholy	Unsigned/independent	1998-2007 (as A Tribute to the Plague), 2007-present	https://www.metal-archives.com/bands/Archityrants/3540353468
Brazil	São Paulo, São Paulo	Split-up	2018	Metalcore	N/A	Vegan Merch	2018-?	https://www.metal-archives.com/bands/Archote/3540449429
Brazil	São Paulo	Changed name	2007	Power Metal	Esotericism, Prophecies	Unsigned/independent	2007-2012, 2013-present (as Templomayor)	https://www.metal-archives.com/bands/Archtype/3540535246
Brazil	São Paulo	Active	2020	Black Metal	N/A	Unsigned/independent	2020-present	https://www.metal-archives.com/bands/Archytas/3540511762
Brazil	Porto Alegre, Rio Grande do Sul	Active	2017	Death Metal	Madness, Social unfitness, Death, Violence	Unsigned/independent	2017-present	https://www.metal-archives.com/bands/Ardil/3540451542
Brazil	São Paulo, São Paulo	Split-up	2000	Brutal Death Metal/Grindcore	Emotions, Nonsense	Travolta Discos	2000-2008, 2015	https://www.metal-archives.com/bands/Are_You_God%3F/2348
Brazil	Uberlândia, Minas Gerais	Split-up	2011	Black Metal	N/A	Unsigned/independent	2011-2019	https://www.metal-archives.com/bands/Arelok/3540368920
Brazil	São Paulo, São Paulo	Unknown	2000	Heavy/Power Metal	N/A	Die Hard Records	2000-?	https://www.metal-archives.com/bands/Arena/3540423327
Brazil	Espírito Santo	Split-up	N/A	Heavy/Power Metal	N/A	Unsigned/independent	N/A	https://www.metal-archives.com/bands/Arena/3540557514
Brazil	Canoas, Rio Grande do Sul	Active	1999	Thrash Metal	N/A	Unsigned/independent	1999-2002 (as Arena), 2002-present	https://www.metal-archives.com/bands/Arena_Age/19846
Brazil	Natal, Rio Grande do Norte	Unknown	N/A	Heavy/Power Metal	Christianity	Unsigned/independent	N/A	https://www.metal-archives.com/bands/Arena_X/3540444722
Brazil	Caxias do Sul, Rio Grande do Sul	On hold	2002	Black Metal	Anti-Christianity, War, Ultraviolence	M.S.	2002-present	https://www.metal-archives.com/bands/Ares_Wrath_Division/13796
Brazil	São Bernardo do Campo, São Paulo	Split-up	1996	Progressive/Power Metal	N/A	Unsigned/independent	1996-?	https://www.metal-archives.com/bands/Arghon/11299
Brazil	São Paulo, São Paulo	Active	2000	Heavy Metal	N/A	Unsigned/independent	2000-present	https://www.metal-archives.com/bands/Argos/3540395403
Brazil	Brasília, Distrito Federal	Active	2020	Progressive Heavy/Doom Metal	N/A	Unsigned/independent	2020-present	https://www.metal-archives.com/bands/Arguerom/3540540336
Brazil	Campinas, São Paulo	Split-up	2006	Groove/Thrash Metal	Society, Life, Hate	Unsigned/independent	2006-?	https://www.metal-archives.com/bands/Ariel_n%27_Caliban/92583
Brazil	Palmeira Dos Índios, Alagoas	Active	2007	Power Metal	N/A	Unsigned/independent	2007-present	https://www.metal-archives.com/bands/Ariel-Kaliban/3540493302
